delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
900.0,173.62,1.0,8,174.0,173.5,173.0,173.5,173.5,173.5,174.0,174.0
905.0,173.62,1.0,8,173.8,173.67,173.5,173.0,173.25,173.75,174.0,174.0
910.0,173.71,1.0,8,174.0,173.67,173.5,173.0,174.0,173.5,174.0,174.0
915.0,173.62,1.0,8,173.5,174.0,173.25,173.0,173.5,173.75,174.0,174.0
920.0,173.56,1.0,8,174.0,173.5,173.0,173.0,173.5,173.5,174.0,174.0
925.0,173.64,0.86,8,173.5,173.67,173.5,173.14,173.33,174.0,174.0,174.0
930.0,173.88,1.0,8,174.0,174.0,174.0,173.0,174.0,174.0,174.0,174.0
935.0,173.59,1.0,8,173.75,173.75,173.25,173.0,173.0,174.0,174.0,174.0
940.0,173.62,1.0,8,174.0,173.5,173.5,173.0,173.0,174.0,174.0,174.0
945.0,173.7,1.0,8,174.0,174.0,173.25,173.0,173.33,174.0,174.0,174.0
950.0,173.81,0.5,8,174.0,174.0,173.5,173.5,173.5,174.0,174.0,174.0
955.0,173.7,1.0,8,173.67,174.0,173.67,173.0,173.5,173.75,174.0,174.0
960.0,173.75,1.0,8,174.0,174.0,173.0,173.5,173.5,174.0,174.0,174.0
965.0,173.78,1.0,8,174.0,173.5,174.0,173.0,173.75,174.0,174.0,174.0
970.0,173.59,1.0,8,174.0,173.25,173.0,173.14,173.33,174.0,174.0,174.0
975.0,173.79,0.67,8,174.0,174.0,174.0,173.33,173.33,173.67,174.0,174.0
980.0,173.75,1.0,8,174.0,174.0,173.0,173.5,173.5,174.0,174.0,174.0
985.0,173.71,1.0,8,174.0,173.67,173.5,173.0,173.5,174.0,174.0,174.0
990.0,173.74,1.0,8,174.0,174.0,173.0,173.25,173.67,174.0,174.0,174.0
995.0,173.75,1.0,8,174.0,174.0,173.5,173.0,173.5,174.0,174.0,174.0
1000.0,173.81,1.0,8,174.0,174.0,173.0,173.5,174.0,174.0,174.0,174.0
1005.0,173.72,1.0,8,174.0,174.0,174.0,173.0,173.5,173.5,174.0,173.8
1010.0,173.78,1.0,8,174.0,174.0,173.75,173.0,173.5,174.0,174.0,174.0
1015.0,173.52,1.0,8,173.67,174.0,173.0,173.0,173.5,173.5,173.5,174.0
1020.0,173.73,0.67,8,173.5,173.8,173.67,173.33,173.5,174.0,174.0,174.0
1025.0,173.71,1.0,8,174.0,174.0,173.0,173.0,174.0,173.67,174.0,174.0
1030.0,173.78,1.0,8,174.0,174.0,173.25,173.0,174.0,174.0,174.0,174.0
1035.0,173.62,1.0,8,174.0,173.75,173.0,173.25,173.0,174.0,174.0,174.0
1040.0,173.69,1.0,8,174.0,174.0,173.0,173.0,173.5,174.0,174.0,174.0
1045.0,173.67,1.0,8,174.0,173.5,173.14,173.0,173.75,174.0,174.0,174.0
1050.0,173.59,1.0,8,174.0,173.75,173.0,173.29,173.33,173.33,174.0,174.0
1055.0,173.71,1.0,8,174.0,174.0,173.5,173.2,173.0,174.0,174.0,174.0
1060.0,173.75,0.75,8,174.0,173.75,173.5,173.25,173.5,174.0,174.0,174.0
1065.0,173.62,1.0,8,174.0,173.5,173.0,173.5,173.0,174.0,174.0,174.0
1070.0,173.83,0.5,8,174.0,174.0,173.67,173.5,173.5,174.0,174.0,174.0
1075.0,173.67,1.0,8,173.83,174.0,173.5,173.0,173.5,173.5,174.0,174.0
1080.0,173.76,0.75,8,174.0,174.0,173.5,173.25,173.33,174.0,174.0,174.0
1085.0,173.75,0.5,8,174.0,173.5,173.5,173.5,174.0,173.5,174.0,174.0
1090.0,173.72,1.0,8,173.75,174.0,173.0,173.0,174.0,174.0,174.0,174.0
1095.0,173.62,1.0,8,174.0,173.5,173.0,173.0,173.8,173.67,174.0,174.0
1100.0,173.7,0.67,8,174.0,173.5,173.33,173.5,173.5,173.75,174.0,174.0
1105.0,173.78,0.67,8,174.0,173.86,173.33,173.67,173.67,173.75,174.0,174.0
1110.0,173.77,0.5,8,174.0,173.67,173.5,173.5,173.5,174.0,174.0,174.0
1115.0,173.68,0.86,8,174.0,173.5,173.5,173.14,173.33,174.0,174.0,174.0
1120.0,173.78,0.75,8,174.0,174.0,173.5,173.25,173.5,174.0,174.0,174.0
1125.0,173.84,0.5,8,174.0,173.75,173.67,173.5,173.78,174.0,174.0,174.0
1130.0,173.69,1.0,8,174.0,173.5,173.5,173.0,173.5,174.0,174.0,174.0
1135.0,173.74,1.0,8,174.0,174.0,173.25,173.0,173.67,174.0,174.0,174.0
1140.0,173.88,0.5,8,174.0,174.0,173.5,173.5,174.0,174.0,174.0,174.0
1145.0,173.78,1.0,8,174.0,173.5,174.0,173.0,173.75,174.0,174.0,174.0
1150.0,173.81,0.5,8,174.0,174.0,173.5,173.5,173.5,174.0,174.0,174.0
1155.0,173.68,1.0,8,174.0,173.44,173.0,173.25,173.75,174.0,174.0,174.0
1160.0,173.62,1.0,8,174.0,174.0,173.0,173.0,173.0,174.0,174.0,174.0
1165.0,173.72,0.75,8,174.0,173.5,173.5,173.25,173.75,173.75,174.0,174.0
1170.0,173.61,1.0,8,174.0,174.0,173.0,173.4,173.0,173.5,174.0,174.0
1175.0,173.68,1.0,8,174.0,173.67,173.0,173.0,173.78,174.0,174.0,174.0
1180.0,173.76,0.75,8,174.0,173.75,173.75,173.25,173.5,173.86,174.0,174.0
1185.0,173.75,1.0,8,174.0,173.5,174.0,173.0,173.5,174.0,174.0,174.0
1190.0,173.75,1.0,8,174.0,174.0,173.0,173.5,173.5,174.0,174.0,174.0
1195.0,173.75,0.75,8,174.0,174.0,173.25,173.5,173.25,174.0,174.0,174.0
1200.0,173.56,1.0,8,174.0,173.5,173.5,173.0,173.0,174.0,173.5,174.0
1205.0,173.67,1.0,8,174.0,173.71,173.67,173.0,173.25,173.75,174.0,174.0
1210.0,173.75,1.0,8,174.0,174.0,173.0,173.67,173.33,174.0,174.0,174.0
1215.0,173.53,1.0,8,174.0,173.0,173.25,173.0,173.0,174.0,174.0,174.0
1220.0,173.66,1.0,8,174.0,173.75,173.5,173.0,173.33,173.67,174.0,174.0
1225.0,173.67,1.0,8,174.0,174.0,173.0,173.0,173.33,174.0,174.0,174.0
1230.0,173.71,0.67,8,174.0,173.5,173.5,173.33,173.33,174.0,174.0,174.0
1235.0,173.5,1.0,8,173.5,173.5,173.0,173.0,173.0,174.0,174.0,174.0
1240.0,173.67,1.0,8,173.88,174.0,173.25,173.0,173.25,174.0,174.0,174.0
1245.0,173.6,1.0,8,173.8,173.5,173.0,173.0,173.5,174.0,174.0,174.0
1250.0,173.67,0.75,8,174.0,173.29,173.25,173.33,173.5,174.0,174.0,174.0
1255.0,173.6,1.0,8,174.0,173.2,173.33,173.0,173.5,173.75,174.0,174.0
1260.0,173.57,1.0,8,173.75,173.5,173.0,173.0,173.33,174.0,174.0,174.0
1265.0,173.54,1.0,8,174.0,173.5,173.0,173.33,173.5,173.0,174.0,174.0
1270.0,173.68,1.0,8,174.0,173.75,173.33,173.0,173.5,173.86,174.0,174.0
1275.0,173.88,0.5,8,174.0,174.0,173.5,174.0,173.5,174.0,174.0,174.0
1280.0,173.56,1.0,8,174.0,173.0,173.0,173.5,173.5,173.5,174.0,174.0
1285.0,173.76,1.0,8,173.67,174.0,173.67,173.0,173.75,174.0,174.0,174.0
1290.0,173.62,1.0,8,173.6,173.33,174.0,173.0,173.5,174.0,173.5,174.0
1295.0,173.66,0.67,8,173.67,173.5,173.5,173.33,173.5,174.0,173.75,174.0
1300.0,173.69,1.0,8,173.5,174.0,173.0,173.5,173.5,174.0,174.0,174.0
1305.0,173.66,1.0,8,173.75,173.5,173.0,173.0,174.0,174.0,174.0,174.0
1310.0,173.75,1.0,8,174.0,173.5,173.0,173.5,174.0,174.0,174.0,174.0
1315.0,173.59,1.0,8,174.0,173.25,173.0,173.0,173.5,174.0,174.0,174.0
1320.0,173.71,1.0,8,174.0,173.5,173.0,173.5,174.0,173.67,174.0,174.0
1325.0,173.68,1.0,8,173.78,173.75,173.75,173.0,173.5,174.0,173.67,174.0
1330.0,173.53,1.0,8,173.33,173.67,173.0,173.0,173.5,173.75,174.0,174.0
1335.0,173.62,1.0,8,173.5,174.0,173.0,173.0,173.5,174.0,174.0,174.0
1340.0,173.7,1.0,8,174.0,173.67,173.5,173.0,173.67,173.75,174.0,174.0
1345.0,173.62,1.0,8,174.0,173.5,173.0,173.0,173.5,174.0,174.0,174.0
1350.0,173.62,1.0,8,174.0,173.25,173.0,173.25,173.5,174.0,174.0,174.0
1355.0,173.75,1.0,8,174.0,174.0,173.5,173.0,173.5,174.0,174.0,174.0
1360.0,173.7,0.67,8,173.83,173.5,173.67,173.33,173.5,173.75,174.0,174.0
1365.0,173.75,1.0,8,174.0,174.0,173.5,173.0,173.5,174.0,174.0,174.0
1370.0,173.68,1.0,8,174.0,173.75,173.0,173.0,173.67,174.0,174.0,174.0
1375.0,173.58,1.0,8,174.0,173.0,173.0,173.0,173.67,174.0,174.0,174.0
1380.0,173.66,1.0,8,173.5,174.0,173.25,173.0,174.0,173.5,174.0,174.0
