delay_us,mean,spread,ntags,p0,p1,p2,p3,p4,p5,p6,p7
1000.0,202.75,14.5,8,206.5,200.5,195.5,197.5,200.0,205.0,207.0,210.0
1005.0,202.52,13.75,8,205.33,200.0,195.75,197.5,200.75,204.0,207.33,209.5
1010.0,202.35,14.5,8,203.8,199.0,196.0,196.5,200.5,204.0,208.5,210.5
1015.0,203.16,13.75,8,209.0,199.33,196.67,196.25,201.0,204.5,208.5,210.0
1020.0,203.06,13.67,8,208.5,200.0,196.33,196.67,201.0,203.5,208.5,210.0
1025.0,203.38,14.33,8,207.5,201.67,196.0,197.5,201.0,204.5,208.5,210.33
1030.0,203.08,13.5,8,208.0,199.5,197.0,197.67,201.0,203.5,207.5,210.5
1035.0,202.99,14.0,8,207.25,200.0,197.33,196.5,201.0,203.67,207.67,210.5
1040.0,203.15,15.0,8,207.0,200.5,196.0,198.0,199.5,205.17,208.0,211.0
1045.0,203.24,13.83,8,207.5,200.0,196.75,196.5,201.67,204.0,209.14,210.33
1050.0,202.82,15.1,8,208.0,201.0,195.5,196.0,200.0,204.0,207.5,210.6
1055.0,203.01,14.5,8,204.88,200.0,197.0,196.5,201.0,204.67,209.0,211.0
1060.0,202.66,15.0,8,203.75,200.0,196.0,197.0,200.5,204.0,209.0,211.0
1065.0,202.46,15.25,8,206.5,196.67,196.0,197.33,200.67,204.0,207.25,211.25
1070.0,202.46,15.17,8,207.5,199.33,196.0,195.33,199.5,203.5,208.0,210.5
1075.0,202.86,14.0,8,207.25,200.0,196.25,196.67,200.5,204.29,207.67,210.25
1080.0,203.47,14.67,8,207.33,202.67,196.0,196.5,200.0,204.0,210.57,210.67
1085.0,202.91,14.5,8,207.5,201.0,196.0,196.0,199.5,203.5,209.25,210.5
1090.0,203.2,15.3,8,208.67,201.67,195.5,196.75,200.25,204.0,208.0,210.8
1095.0,202.94,15.0,8,208.0,199.5,196.0,196.5,200.0,204.0,208.5,211.0
1100.0,202.49,14.58,8,207.0,199.5,196.0,195.67,200.25,204.0,207.25,210.25
1105.0,202.78,15.5,8,208.0,200.0,195.5,196.71,199.0,203.5,208.5,211.0
1110.0,203.09,15.33,8,206.0,203.0,196.5,195.0,201.89,203.5,208.5,210.33
1115.0,202.46,14.5,8,206.5,200.0,195.5,197.2,199.5,203.5,207.5,210.0
